date,numbers
7/1/2023,"7,8,11,12,13,17,32,10"
14/01/2023,"9,20,22,25,28,29,30,12"
21/01/2023,"3,4,7,17,24,30,31,11"
28/01/2023,"15,16,22,27,31,34,35,12"
4/2/2023,"12,16,18,21,23,25,33,15"
11/2/2023,"1,11,12,16,21,24,29,35"
18/02/2023,"4,5,21,22,27,28,32,16"
25/02/2023,"9,11,14,15,27,32,33,8"
4/3/2023,"5,10,16,24,29,30,36,7"
11/3/2023,"8,13,23,26,29,30,32,4"
18/03/2023,"3,5,15,16,20,29,36,6"
25/03/2023,"2,9,11,13,20,21,23,7"
1/4/2023,"2,9,22,23,27,30,33,14"
8/4/2023,"1,16,19,21,24,31,32,22"
15/04/2023,"4,8,10,12,13,17,27,6"
22/04/2023,"5,6,9,14,24,27,32,30"
29/04/2023,"8,9,12,13,16,20,27,32"
6/5/2023,"10,11,13,24,28,30,35,32"
13/05/2023,"6,8,15,17,21,22,33,28"
20/05/2023,"2,11,15,17,26,29,32,7"
27/05/2023,"1,4,11,12,21,23,36,14"
3/6/2023,"1,10,16,17,30,32,35,29"
10/6/2023,"10,12,15,18,25,28,33,34"
17/06/2023,"8,14,18,25,26,27,34,19"
24/06/2023,"7,10,17,22,23,24,26,16"
1/7/2023,"4,15,18,27,31,34,35,9"
8/7/2023,"3,9,10,23,25,27,29,30"
15/07/2023,"7,10,19,23,25,27,32,9"
22/07/2023,"9,18,20,23,24,28,35,7"
29/07/2023,"10,13,14,19,20,21,32,28"
5/8/2023,"4,7,10,17,19,29,33,13"
12/8/2023,"5,6,9,15,19,30,36,4"
19/8/2023,"10,11,18,22,25,29,30,27"
26/8/2023,"2,3,4,15,17,21,27,20"
2/9/2023,"11,12,14,25,29,30,36,21"
9/9/2023,"4,5,12,14,15,25,28,19"
16/9/2023,"9,15,17,18,32,35,36,22"
